0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Il1b,Atp1b1,Hmga2,Apoe,Psap,Srgn,Cd3g,Col1a2,Krt8,Hmga2,Spp1,Lgals4,Rps2,Egfl7,Cst3,Cxcl2,Lhfp,Cd74,Rpsa,Rps19,Ppp1r14b,Cd3e,Prss2,Cx3cr1
Pim1,Gsta4,Fbln2,C1qa,Ctss,Il1b,Cd3e,Bgn,Krt7,Prkg2,Clu,Gsta4,Ppp1r14b,Cdh5,Cbfa2t3,Il1b,Serping1,H2-Ab1,Rpl28,Cd74,Phgdh,Ms4a4b,Rnase1,Nkg7
Il1r2,Prom1,Cdkn2a,C1qc,Lyz2,Tyrobp,AW112010,Col1a1,Wfdc2,Hbegf,Onecut2,Wfdc2,Rplp0,Kdr,Ifi30,Nfkbia,Bgn,mt-Co1,S100a6,Ccr7,Lgals1,Cd3d,Sycn,Ms4a7
Tyrobp,Wfdc2,Spp1,C1qb,Cybb,Mcl1,Cd3d,Col3a1,Cdh1,Tnnt2,Bicc1,Tm4sf20,Hmgn1,Col4a1,Plbd1,Pim1,Col3a1,Zeb2,Rplp0,Rpsa,Ccnd1,Cd3g,Cpa1,Apoe
Srgn,Lgals4,Rtn4,Selenop,Fcgr2b,Cebpb,Trbc2,Sparc,Spint2,Map1b,Alcam,Cldn7,Phgdh,Pecam1,Napsa,Tnfaip2,Sparc,Apoe,Lgals1,H2-Aa,Cks1b,Trbc2,Try4,Cd3g
Mcl1,Epcam,Prkg2,Ms4a7,Ctsc,Nfkbia,Rps15a,Serpinh1,Anxa4,Ppp1r14b,Cldn2,Cldn3,Cks1b,Gng11,Atox1,Hdc,Serpinh1,mt-Co3,Rps20,Napsa,Hmga1,Gimap3,Cpb1,Csf1r
Junb,Cldn7,Map1b,Ctss,Ifi30,S100a8,Nkg7,Serping1,Cdh17,Fbln2,Cp,Prom1,Ccnd1,Ramp2,Rps11,Junb,Col1a2,mt-Co2,Rplp1,Rps24,Hmga2,Ctsw,2210010C04Rik,C1qc
Ccrl2,Cldn3,Aldh2,Ctsb,Cd74,Cxcl2,Shisa5,Aebp1,Krt19,Hmga1,Cd2ap,Atp1b1,Hmga1,Eng,Lsp1,Gadd45b,Aebp1,mt-Atp6,Ppp1r14b,Ifi30,Rps2,Nkg7,Klk1,Ccl5
Cxcl2,Spint2,Mast4,Lyz2,Ctsz,S100a9,Rps24,Col5a2,Onecut2,Tpm1,Atp1a1,Serpinb1a,Krt18,Plvap,Gm2a,Ccrl2,Col5a2,Gm42418,Tmsb10,Fau,Wincr1,Ccl5,Clps,Selenop
S100a9,Spink4,Myof,Ctsc,Csf1r,Pim1,Ms4a4b,Fbn1,Krt18,Myof,Camk2n1,Epcam,S100a6,Col4a2,H2-DMa,Zfp36,C1s1,H2-Aa,Rps2,H2-Eb1,Npm1,Lck,Ctrb1,C1qa
Cebpb,Sptssb,Ppp1r14b,Aif1,Gm2a,Csf3r,Ccl5,Rcn3,Msln,Cdkn2a,Cxadr,Anxa4,Hsp90ab1,Cd200,Actb,Egr1,Fstl1,mt-Nd2,Rpl21,H2-K1,Rplp0,Trac,Cela2a,Ctsb
Tnfaip2,Cfi,Sox9,Csf1r,Mafb,Hdc,Rpl38,Fstl1,Clu,Cdh2,Ehf,Prr15l,Prkg2,Sptbn1,H2-Ab1,Malat1,Col1a1,mt-Nd4,Rps5,Lsp1,Ran,Ptprcap,Try5,Stab1
Ncf1,Anxa4,Sdc1,Lgmn,H2-Ab1,Fth1,Mbnl1,Cpxm1,2200002D01Rik,Mast4,Sdc1,Krt19,Npm1,Ptprb,Gng10,Mcl1,Snhg18,Xist,Rpl22,Rpl19,Rplp1,Ablim1,Reg2,Lgmn
H3f3b,Atp1a1,Ahnak,Cd74,Ccl6,Zfp36,Ptprcap,Ccdc80,Ecm1,Col18a1,Sox4,Spint2,Ran,Ctla2a,Ciita,Srgn,Ccdc80,mt-Nd1,Rps12,Tmem123,Rps20,Bcl11b,Zg16,C1qb
Rac2,Onecut2,Sox4,Psap,Tgfbi,Junb,Trac,Serpinf1,S100a6,Ankrd1,Tspan8,Krt7,Wincr1,Adgrf5,Tmsb4x,H3f3b,Cald1,Ctss,Rpl14,Cd83,Nap1l1,Cxcr6,Cela3b,Trbc2
Fcer1g,Ehf,Dst,H2-Aa,Mpeg1,Btg1,Xist,Dcn,Tspan8,Aldh2,Scara3,Krt8,Tnnt2,S1pr1,Cd74,Plek,Rcn3,Mafb,Rpl35,Xist,Rpl41,Hcst,Pnliprp1,Ctsw
S100a8,Serpinb1a,Tnnt2,Cx3cr1,H2-DMa,Cd52,Hcst,Loxl1,Prom1,Npm1,Prdx1,Ehf,Lgals2,Tcf4,H2-Aa,Il1r2,Rarres2,Lyz2,Rps8,Rps11,Hmgn1,Cd69,Ctrl,Cd3d
Fxyd5,Krt19,Tnfrsf12a,Itm2b,Apoe,Dusp1,Cd52,Olfml3,Crip1,F2r,Spint2,Cfi,4930461G14Rik,Myct1,H2-Eb1,Clec4e,Timp3,Laptm5,Prdx2,Rel,Tnnt2,Lat,Cel,Psap
AA467197,Pglyrp1,Tm4sf1,H2-Eb1,H2-Aa,Plek,H2-K1,Mmp2,Npnt,Lamb1,Ecm1,Crip1,Tm4sf1,Mmrn2,Ckb,Cebpb,Tpm2,C1qb,Rpl41,Traf1,Ankrd1,Skap1,Reg1,Ccr5
Ptprc,Meis2,Tpm1,Mpeg1,C1qb,Fcer1g,H2-Q7,Snhg18,Gsta4,Sfr1,Nfib,Tspan8,Stmn1,Ifitm3,Rps27a,Nfkbid,Col6a2,H2-Eb1,Rps26,Cbfa2t3,Aprt,Smad7,Reg3a,Ctss
